"Scenario","Variable","time_center","AR1","Variance","CV","Skewness","Kurtosis","Reddening"
"2y","ctotal",1988,0.199539245185657,5.23085728108981,24.2304944442711,-0.988724226873186,1.77765542486197,3.53439984793423
"2y","ctotal",1989,0.257711907441312,9.07983839978901,-9.60745352658892,-1.39198764517733,2.13310447095808,3.34771061115791
"2y","ctotal",1990,0.288168400386947,9.05385051778926,-7.65548955975277,-1.31157315240696,1.98662684768673,2.39474528780578
"2y","ctotal",1991,0.198895175733802,11.9563402157066,-152.585245161049,-0.612433741531157,1.48842765148034,2.80076913475538
"2y","ctotal",1992,0.318423979414715,13.0350078263319,21.1818370499757,-0.592011139521122,1.0198080606253,3.57920209862734
"2y","ctotal",1993,0.291280972824237,13.130523245857,53.0233899029991,-0.4952924643013,0.87883022202058,4.3582095902972
"2y","ctotal",1994,0.292084076568197,13.1914646327975,82.9928204763293,-0.471765643808811,0.822888831867599,4.70325897500933
"2y","ctotal",1995,0.292014345557945,13.3029069650056,253.271867192998,-0.445948808317498,0.737009568896299,4.97640354603103
"2y","ctotal",1996,0.2934368208645,13.1608478403242,33.3850610230527,-0.535357959935628,0.891793881801345,4.67185166572232
"2y","ctotal",1997,0.249666041815083,15.8320192603071,8.26296013668345,-0.364856316372165,0.406068837779934,3.83047524742359
"2y","ctotal",1998,0.0243514729334027,18.8371922141111,-99.0614990141732,-0.262924101762315,-0.168774363993641,2.38766245636648
"2y","ctotal",1999,0.0692807284471309,18.2824716932912,-12.3203181771988,-0.0817645875987809,-0.0639239645573696,1.92692348880317
"2y","ctotal",2000,0.0646416183779172,18.3396165859172,-13.806964744532,-0.109253493842766,-0.081342901078298,1.98140037591823
"2y","ctotal",2001,0.0376340280197388,18.3707900995919,-35.4941678527928,-0.247808041104148,-0.0529368388592556,2.06108086374224
"2y","ctotal",2002,0.0953990387875854,16.2710878623145,15.1099948471437,-0.408495687212552,0.639952191988811,2.10664827775544
"2y","ctotal",2003,0.0805648847188596,16.0266117507643,25.6717868885063,-0.333116666683195,0.711588876644215,2.13814992641706
"2y","ctotal",2004,0.0645576798045019,15.7739985690699,905.56919678146,-0.223416079068672,0.78847704190065,2.01938061444828
"2y","ctotal",2005,0.0491742854367753,15.5300377940269,-27.2410739207587,-0.11181544967831,0.887082384154572,1.936148350214
"2y","ctotal",2006,0.069981318533849,15.2452287936204,-14.7670813395184,-0.0232761097689868,1.03596522236197,1.8415782652686
"2y","ctotal",2007,-0.00616795433582167,14.9577630354622,-40.9740756856484,-0.157070327786169,1.22314663957411,1.58799168081879
"2y","evapm",1988,0.0585731791662727,0.00194303731072244,5.34476510302959,0.786020506871031,0.315495163374835,0.790232605828616
"2y","evapm",1989,-0.216475689859802,0.00295153545434976,28.6361525905826,-0.217955966356181,1.16883149506268,0.620132459266718
"2y","evapm",1990,0.0888128079026466,0.00390956533413125,-12.0839211412655,-0.385456197110027,0.48503935905082,0.952003418328689
"2y","evapm",1991,0.0373532803445704,0.00393775733892379,-13.7647505061302,-0.409843634038378,0.449097534852593,1.29028786684911
"2y","evapm",1992,0.063928194509171,0.00428755861057533,-156.927690556334,-0.453713192614291,0.115004769472331,1.63772599625497
"2y","evapm",1993,0.13824074550554,0.0042293855358938,-61.3271053967857,-0.445011141464115,0.177702012692019,2.33757612333649
"2y","evapm",1994,0.131500645046396,0.00404322442922866,31.2970906538855,-0.596071675277756,0.608329182382833,2.48371871448197
"2y","evapm",1995,0.124877107431434,0.00402562334400315,22.241634247839,-0.642060833558022,0.684658842516967,2.61197252449732
"2y","evapm",1996,0.150112680062079,0.00402950632170433,22.7575515120345,-0.638529003759331,0.673828578860773,3.11324441677096
"2y","evapm",1997,0.149069054237253,0.00384913474631603,71.0223553678173,-0.637569176980571,0.900373047025317,3.30557102462535
"2y","evapm",1998,0.11100829038889,0.0041395317963215,-22.4117828296379,-0.471465520776555,0.266238839039693,3.39554141546702
"2y","evapm",1999,0.139665410020014,0.00405057873855873,-12.3810375850712,-0.381749996185673,0.347071882333451,3.28012128380998
"2y","evapm",2000,0.142502787255606,0.0040210244923469,-54.292681309139,-0.569998443136281,0.547358194050634,3.43742452460985
"2y","evapm",2001,0.15836256669234,0.00409723003071027,107.409707171475,-0.633516377879293,0.486158539579193,3.9185721221079
"2y","evapm",2002,0.175441489938166,0.00397148978139843,15.3775968454465,-0.820576200041791,0.922633145906299,4.07374905233755
"2y","evapm",2003,0.172618991928616,0.0039777733628138,19.3474294654457,-0.774499497934011,0.855584105074171,4.03381432591053
"2y","evapm",2004,0.175910429873783,0.0040211871777978,38.6522065271675,-0.682228583148879,0.671239786743547,4.19749193739867
"2y","evapm",2005,0.202498397169825,0.00404659372984123,60.598951741634,-0.648222983096757,0.589293787522225,3.65085320200748
"2y","evapm",2006,0.0694801825590347,0.00357230219221198,-14.9422533648422,-0.709145801223124,1.01065164856483,3.77241915047571
"2y","evapm",2007,0.348683743666773,0.00292989744338781,-6.56317920272088,-1.20061376498791,1.4075828561585,4.20735821587958
"2y","npp",1988,-0.17845711281657,0.00931039378492911,-53.7874497041772,-0.422766640059459,-0.60274135120396,0.756047959753693
"2y","npp",1989,0.0777233942141995,0.015587479677144,-5.88919311221607,-1.00617282583668,1.1471659290864,1.0342640940548
"2y","npp",1990,-0.0996556571965481,0.0169107294622279,-9.5002703998428,-0.971876143873651,0.861535826862744,0.815758105853044
"2y","npp",1991,0.0406822091753449,0.0217964421995043,109.167846350546,-0.463550521114712,0.645414491711471,1.04582576075872
"2y","npp",1992,0.106091708529585,0.0218193260977227,12.0951365979797,-0.666999127752703,0.845655396468279,1.41118756575948
"2y","npp",1993,0.105593925483381,0.0216380812466588,9.7340196201596,-0.73811739075094,0.987882909366533,1.49538295582493
"2y","npp",1994,0.106008939897224,0.0218404419112389,12.0437439320768,-0.668022326748935,0.838863449351783,1.53407175366266
"2y","npp",1995,0.0962876159519131,0.0224229958826875,64.3991697549453,-0.461537841537108,0.460463451156022,1.50004388388361
"2y","npp",1996,0.0603956825422288,0.0212219102224432,-31.5199449377988,-0.401706482323868,0.740188783966667,1.45549730692868
"2y","npp",1997,0.0991988077522215,0.0209036265272558,-21.9826777909962,-0.379102500990838,0.833045282626345,1.74993515500725
"2y","npp",1998,0.1284735337807,0.020438128586203,-30.2326551934993,-0.40387807434856,1.01652092761114,2.24046913134212
"2y","npp",1999,0.203040582139121,0.0196668116170731,-11.6921553577308,-0.289094329032615,1.25034085010263,2.43627657431208
"2y","npp",2000,0.203764253821024,0.0177519959320197,-140.200020409735,-0.458086048590556,2.21205509965952,2.28397362626702
"2y","npp",2001,0.19981320029631,0.0177277918880096,57.4487769476772,-0.539746192376983,2.28894128876601,2.34713136945904
"2y","npp",2002,0.220229949598728,0.017585278298384,22.3499003819352,-0.634046517632667,2.46285033742864,2.57060661199156
"2y","npp",2003,0.204916328052765,0.016996572865163,229.970564203378,-0.55741542516966,2.73217243247089,2.74349527340343
"2y","npp",2004,0.214398555288614,0.016740385273245,-38.7247342374285,-0.477293243150387,2.84159137699219,2.92488602852106
"2y","npp",2005,0.223512482448108,0.0166984677474036,-58.6669526631284,-0.508028501952317,2.89540466056558,3.30840446652036
"2y","npp",2006,0.276266242471355,0.0162401404030824,-18.6428704918883,-0.428567049898228,3.15860325058853,2.66065811155257
"2y","npp",2007,0.098858544470685,0.0150000793376825,68.2721698663165,-0.614641822193616,4.33703677129469,3.05393882953056
"4y","ctotal",1988,-0.172701358061632,1.26298300521935,20.0745291798922,0.696621152649902,0.62435209238367,0.725107948081909
"4y","ctotal",1989,0.129130491249324,2.20075115743615,-11.1207900205164,-0.710691215021582,2.39186949382659,1.30375870370466
"4y","ctotal",1990,-0.177996810958561,2.7815725854901,-1336.06538730891,-0.248281475771396,1.54594526707999,0.929239196640575
"4y","ctotal",1991,-0.0202057461927661,3.07627030268227,16.4272758400147,-0.266942174008388,0.922211723316432,0.905297268866271
"4y","ctotal",1992,-0.0345617125946899,3.08244274321886,18.4263859106818,-0.244739535814929,0.896006544588079,1.04526071565273
"4y","ctotal",1993,-0.0193473840052942,3.21388373870264,-423.388136375325,-0.0896524021760461,0.538982942509526,1.18132892790463
"4y","ctotal",1994,-0.0353243771559247,3.19766177278078,41.0766886465892,-0.177339490518027,0.59767068363373,1.30432198527306
"4y","ctotal",1995,-0.0408250295242218,3.1787365938885,17.5605049513974,-0.283797832628441,0.683415781487308,1.29262328796656
"4y","ctotal",1996,-0.0515783903490235,3.94305925439923,-28.3856496106755,-0.357823445159474,0.0452095231011701,1.24509980677892
"4y","ctotal",1997,-0.0496251669988714,3.94108549603647,-23.0287824909269,-0.330720707965829,0.0347288969299073,1.07884698482064
