"date","npp","photo","ar","lai","f5","evapm","cleaf","cwood","croot","csap","cheart","csto","ctotal","wue","ls","frequency","sim_year"
1979,1.72872455798218,2.52286353728405,0.849604976298544,7.41347708533436,0.882151726751225,1.74118769286678,0.255799265124896,33.4429170316872,0.33851458850545,3.86429767278657,29.5786193589006,22.8480883375083,56.8853192228258,0.00666891063451409,58,"2y",0
1980,1.72369355867192,2.52158114084866,0.855460790181625,7.38070541179947,0.878959467423558,1.72671601374787,0.257849685080034,34.8380602818234,0.341399062170433,3.89015962001454,30.9479006618088,22.8541528199436,58.2914618490175,0.00653033095757828,58,"2y",1
1981,1.75027683583561,2.540359778585,0.84534256847729,7.4219229977955,0.881704841020424,1.71635572349146,0.256769821046474,33.9295525631294,0.3397535698282,3.85406523362661,30.0754873295028,23.3753924871645,57.9014684411685,0.00669426630146891,58,"2y",2
1982,1.6575132985173,2.46990013765733,0.872262056519969,7.49399304171418,0.852624199716281,1.69318432692033,0.259785000149716,37.0449415595398,0.344142173196655,4.00401098393835,33.0409305756015,21.4046913211568,59.053560054043,0.00689065763327922,58,"2y",3
1983,1.70097324882423,2.46945448250341,0.81869521045826,7.13332804216808,0.857658561905954,1.74107122407118,0.248464555722233,36.0381262144715,0.328229050421165,3.72709989046957,32.311026324002,22.546629481047,59.1614493016619,0.00648673673561025,58,"2y",4
1984,1.71973801929274,2.53053279598778,0.871108472439533,7.59447878264707,0.866866486844775,1.63397507876566,0.262835741556353,34.8712411239126,0.348311507226896,4.02176657774616,30.8494745461665,22.5593342114531,58.041722584149,0.00779867200856431,58,"2y",5
1985,1.72563875477725,2.51212198575961,0.842491807462806,7.41694487323078,0.863228073340035,1.66443493005815,0.255978384701277,34.4426354994276,0.338744711692969,3.85634549111881,30.5862900083088,22.7647495444567,57.8021081402786,0.00823193869263273,58,"2y",6
1986,1.70412604000597,2.51100366664103,0.867079937234582,7.54342235074694,0.857035254686077,1.6243943384971,0.261080867606533,34.992015060797,0.346008592003099,3.99997995398774,30.9920351068092,22.2624030300875,57.8615075504941,0.00887787061822298,58,"2y",7
1987,1.52097531284072,2.34039104366956,0.880547690988089,7.3790597999697,0.798325628271734,1.66443731846607,0.253199632174361,39.0430812544465,0.33581952436107,4.03368925424343,35.009392000203,19.5242641515725,59.1563645625544,0.00788861707576105,58,"2y",8
1988,1.1355329903209,1.89030404620967,0.799559418229581,6.74019180265586,0.635653144264678,1.53364722812986,0.229422769319317,46.7664739544861,0.302662642458889,3.8274847973,42.9389891571861,13.016625211105,60.3151845773693,0.00725345171187195,58,"2y",9
1989,1.22063468398174,1.97913543199712,0.805459430605191,6.9135474153986,0.662727647925204,1.50622594425375,0.236037711665436,44.3026522891708,0.311672129356251,3.85794740529313,40.4447048838777,14.3173985968041,59.1677607269966,0.00802956394081866,58,"2y",10
1990,0.746809647810762,1.43529719676452,0.707412402638866,6.01920480729738,0.479832514988157,1.37006789695257,0.206307198899277,44.6092980247131,0.26950577548287,3.40067314942322,41.2086248752899,7.3347689470366,52.4198799461319,0.00661463598108417,58,"2y",11
